,publication_number,abstract_en,Citations,Tokens,TokenizedCitations,TF-IDF
891,US-2012082920-A1,"A method of making a planar solid oxide fuel cell is described involving:
         ( 1 ) sintering at least an electrolyte layer;   ( 2 ) juxtaposing one of a sintered anode or cathode layer with a metal substrate, with a bonding agent therebetween; and   ( 3 ) applying heat to bond the juxtaposed anode or cathode layer to the metal substrate;
 
where the anode and cathode layers are each sintered, together or independently, simultaneously with sintering the electrolyte layer, simultaneously with applying heat to bond the ceramic fuel cell element to the metal substrate, or in one or more separate sintering steps.","US-6653009-B2,US-7055733-B2,US-2006234100-A1,US-7232626-B2,US-2010143824-A1","['method', 'making', 'planar', 'solid', 'oxide', 'fuel', 'cell', 'described', 'involving', '_NUM_', 'sintering', 'least', 'electrolyte', 'layer', '_NUM_', 'juxtaposing', 'one', 'sintered', 'anode', 'cathode', 'layer', 'metal', 'substrate', 'bonding', 'agent', 'therebetween', '_NUM_', 'applying', 'heat', 'bond', 'juxtaposed', 'anode', 'cathode', 'layer', 'metal', 'substrate', 'anode', 'cathode', 'layers', 'sintered', 'together', 'independently', 'simultaneously', 'sintering', 'electrolyte', 'layer', 'simultaneously', 'applying', 'heat', 'bond', 'ceramic', 'fuel', 'cell', 'element', 'metal', 'substrate', 'one', 'separate', 'sintering', 'steps']","['US-7055733', 'US-7232626', 'US-2010143824', 'US-2006234100', 'US-6653009']","[(19, 0.03116141769851642), (29, 0.0764069133335073), (32, 0.0817259074557241), (103, 0.19795936219927632), (110, 0.08140944085599293), (117, 0.06508711256905142), (123, 0.24579221410318877), (124, 0.19526133770715426), (148, 0.04785225775821349), (241, 0.19876902665085422), (388, 0.033172639388030084), (480, 0.09063414128437182), (519, 0.07567528147666172), (532, 0.09938451332542711), (613, 0.059663477581065244), (682, 0.16473751516575116), (693, 0.1842461629417719), (856, 0.09063414128437182), (1061, 0.09938451332542711), (1131, 0.19465523478117136), (1190, 0.1143433731331372), (1251, 0.1528138266670146), (1253, 0.0855326178412235), (1285, 0.17339889296579952), (1362, 0.08140944085599293), (2266, 0.22081735666333033), (3043, 0.10708194127859602), (3415, 0.09544981852395505), (3430, 0.3212458238357881), (4324, 0.3212458238357881), (5038, 0.11040867833166516), (6116, 0.1143433731331372), (6662, 0.1143433731331372), (8213, 0.14907676998814065), (8214, 0.2682358203608611), (8215, 0.4023537305412917)]"
892,US-2005262080-A1,"In a method for assigning test numbers, current testflow context information is maintained during the execution of a testflow. If one or more test number factors have been specified for one or more levels of the current testflow context, the test number factors are used to determine a base number for a current test number range. Otherwise, the base number is set to a default base number. Upon execution of a subtest in the testflow, a result of the subtest is assigned a next test number in the current test number range. The following items are then associated in a test number database: 1) an identifier of the subtest, 2) the current testflow context information, 3) the test number, and 4) the base number. When stored in the database, the base number serves as a specification number for its corresponding test number. Also disclosed are other methods and apparatus that use contextual test number factors to assign test numbers.","US-4873687-A,US-5799321-A,US-6219626-B1,US-6279007-B1,US-6385552-B1,US-6473707-B1,US-6598183-B1,US-6618828-B1,US-6804709-B2,US-2006167643-A1,US-7139672-B2","['method', 'assigning', 'test', 'numbers', 'current', 'testflow', 'context', 'information', 'maintained', 'execution', 'testflow', 'one', 'test', 'number', 'factors', 'specified', 'one', 'levels', 'current', 'testflow', 'context', 'test', 'number', 'factors', 'used', 'determine', 'base', 'number', 'current', 'test', 'number', 'range', 'otherwise', 'base', 'number', 'set', 'default', 'base', 'number', 'upon', 'execution', 'subtest', 'testflow', 'result', 'subtest', 'assigned', 'next', 'test', 'number', 'current', 'test', 'number', 'range', 'following', 'items', 'associated', 'test', 'number', 'database', '_NUM_', 'identifier', 'subtest', '_NUM_', 'current', 'testflow', 'context', 'information', '_NUM_', 'test', 'number', '_NUM_', 'base', 'number', 'stored', 'database', 'base', 'number', 'serves', 'specification', 'number', 'corresponding', 'test', 'number', 'also', 'disclosed', 'methods', 'apparatus', 'use', 'contextual', 'test', 'number', 'factors', 'assign', 'test', 'numbers']","['US-6279007', 'US-6618828', 'US-6473707', 'US-7139672', 'US-6385552', 'US-5799321', 'US-6219626', 'US-2006167643', 'US-6598183', 'US-6804709', 'US-4873687']","[(6, 0.191347914957919), (19, 0.016054049434597623), (30, 0.035246128224035896), (32, 0.056139155630436775), (62, 0.03308743331389731), (71, 0.02571269472971959), (105, 0.026528017635989373), (113, 0.1573367905381274), (148, 0.02465300260212621), (170, 0.02444064017366735), (218, 0.024642797597285743), (276, 0.052373338415364123), (292, 0.021859934795379406), (328, 0.551564320873598), (393, 0.486778889241833), (394, 0.12277909200225116), (444, 0.04917478787173092), (461, 0.07454648693681452), (534, 0.04101426023107901), (632, 0.029566589131893337), (655, 0.042435556651994985), (662, 0.06909620033763951), (665, 0.10736578332922332), (667, 0.059133178263786675), (669, 0.04828484487333301), (718, 0.03607008674393835), (797, 0.028948743966548084), (831, 0.05890855745261622), (951, 0.0512019031161023), (1296, 0.02640781806537446), (1332, 0.05014221098850891), (1757, 0.10028442197701783), (2401, 0.0440655456814766), (2638, 0.06458809654475878), (3109, 0.05516754068994448), (3411, 0.05368289166461166), (4160, 0.05890855745261622), (6551, 0.19376428963427633), (8216, 0.07680285467415345), (8217, 0.07680285467415345), (8218, 0.07680285467415345), (8219, 0.20728860101291854), (8220, 0.23040856402246035), (8221, 0.3840142733707672)]"
893,US-2016088564-A1,"Aspects of the present disclosure provide a method for wireless communications that may be performed (e.g., by a user equipment) for location information reporting. The method generally includes determining one or more properties of the UE and adjusting one or more parameters of location information reporting based on the determined one or more properties.","US-2009192709-A1,US-2013059606-A1,US-2013244696-A1,US-2014179266-A1,US-2014221020-A1,US-2015230048-A1","['aspects', 'present', 'disclosure', 'provide', 'method', 'wireless', 'communications', 'may', 'performed', 'eg', 'user', 'equipment', 'location', 'information', 'reporting', 'method', 'generally', 'includes', 'determining', 'one', 'properties', 'ue', 'adjusting', 'one', 'parameters', 'location', 'information', 'reporting', 'based', 'determined', 'one', 'properties']","['US-2014179266', 'US-2015230048', 'US-2013244696', 'US-2009192709', 'US-2013059606', 'US-2014221020']","[(1, 0.09276703554739098), (11, 0.04503396588552407), (19, 0.11634618902362866), (96, 0.0900411895983505), (148, 0.13399810336476373), (446, 0.11541380148923293), (455, 0.07892442081933922), (650, 0.2910354669023776), (667, 0.2142736623514979), (761, 0.15026300131940373), (826, 0.16415600781342568), (942, 0.32370639507918403), (1034, 0.15967492588622764), (1164, 0.15376853409071542), (1206, 0.11911256346376176), (1537, 0.15967492588622764), (1843, 0.1231855452163339), (1994, 0.16919860700637876), (2457, 0.1362303475048342), (2632, 0.18169419439930692), (4250, 0.19452412571639846), (4617, 0.22244978602498994), (4964, 0.21345973140337343), (8222, 0.5007508926671629), (8223, 0.27830110664217295)]"
894,US-2010315673-A1,"A file containing multiple image data pieces and a header describing an intended use of the image data pieces is stored, and an instruction to perform processing with use of an image data piece from among the image data pieces is received. Based on the instructed processing and the intended use described in the header, an image data piece from among the image data pieces is determined to be the target of the processing, and then the image data piece determined to be the target of the processing is processed.","US-5809167-A,US-2002021310-A1,US-6862103-B1,US-7126704-B2,US-2008049249-A1,US-2008123114-A1,US-7633640-B2,US-2010315517-A1","['file', 'containing', 'multiple', 'image', 'data', 'pieces', 'header', 'describing', 'intended', 'use', 'image', 'data', 'pieces', 'stored', 'instruction', 'perform', 'processing', 'use', 'image', 'data', 'piece', 'among', 'image', 'data', 'pieces', 'received', 'based', 'instructed', 'processing', 'intended', 'use', 'described', 'header', 'image', 'data', 'piece', 'among', 'image', 'data', 'pieces', 'determined', 'target', 'processing', 'image', 'data', 'piece', 'determined', 'target', 'processing', 'processed']","['US-2008123114', 'US-6862103', 'US-5809167', 'US-2008049249', 'US-7126704', 'US-7633640', 'US-2010315517', 'US-2002021310']","[(1, 0.049683132377918555), (7, 0.34929992707772634), (23, 0.267650483852095), (86, 0.4618203653637094), (105, 0.1544467996368041), (117, 0.06507516154505999), (239, 0.059312718387968706), (366, 0.06945403850724144), (431, 0.1070622793394078), (534, 0.0795953586265142), (594, 0.11432237788013491), (832, 0.0787490889752949), (1566, 0.09061749942157935), (1967, 0.1574981779505898), (2457, 0.1459214547287079), (3153, 0.20836211552172437), (3230, 0.29809879426751135), (3444, 0.11432237788013491), (3815, 0.1812349988431587), (4295, 0.4282491173576312), (4968, 0.23827434177032), (8224, 0.14904939713375565), (8225, 0.14904939713375565)]"
895,US-8761048-B2,"In one embodiment, a method includes determining when a predetermined period of time has elapsed, and determining whether at least a first message has been obtained on a first port of a node during the predetermined period of time when it is determined that the predetermined period of time has elapsed. The method also includes identifying the first port as being connected to a single-homed site when it is determined that the at least first message has not been obtained on the first port during the predetermined period of time. The first port is identified as being connected to a multi-homed network, a multi-homed device, or a hierarchical Ethernet segment when it is determined that the at least first message has been obtained on the first port during the predetermined period of time.","US-2009274155-A1,US-7633889-B2,US-2010220739-A1,US-8559335-B2,US-8565230-B2","['one', 'embodiment', 'method', 'includes', 'determining', 'predetermined', 'period', 'time', 'elapsed', 'determining', 'whether', 'least', 'first', 'message', 'obtained', 'first', 'port', 'node', 'predetermined', 'period', 'time', 'determined', 'predetermined', 'period', 'time', 'elapsed', 'method', 'also', 'includes', 'identifying', 'first', 'port', 'connected', 'singlehomed', 'site', 'determined', 'least', 'first', 'message', 'obtained', 'first', 'port', 'predetermined', 'period', 'time', 'first', 'port', 'identified', 'connected', 'multihomed', 'network', 'multihomed', 'device', 'hierarchical', 'ethernet', 'segment', 'determined', 'least', 'first', 'message', 'obtained', 'first', 'port', 'predetermined', 'period', 'time']","['US-8565230', 'US-7633889', 'US-8559335', 'US-2010220739', 'US-2009274155']","[(11, 0.04445999158685101), (19, 0.05743165723291828), (31, 0.06973618576697754), (55, 0.38414754720720656), (133, 0.09621978623356042), (137, 0.03084865928585506), (148, 0.022048374788174462), (178, 0.2521312257988641), (292, 0.039100797821034), (382, 0.05957721174270618), (388, 0.09170762094058632), (436, 0.06556539767906587), (439, 0.2831276469725267), (1133, 0.2630178582512305), (1320, 0.2430956695509015), (1514, 0.20535805453072414), (1716, 0.08795879111547979), (1718, 0.0810318898503005), (1843, 0.12161550057265459), (2457, 0.2017410631566976), (3044, 0.0915846858892764), (3137, 0.0822375536416427), (4967, 0.11552852871161573), (5104, 0.09867800956374016), (5438, 0.4801121121985534), (5769, 0.23105705742323146), (7448, 0.11552852871161573), (8226, 0.2747540576678292), (8227, 0.1373770288339146)]"
896,US-2011120240-A1,"An actuator for selectively extending and retracting a probe in a measuring instrument comprises an actuator body, a carriage having a first aperture slidably attached to the body, and a second aperture receiving a probe holder having a probe. The first aperture of the carriage, which surrounds the actuator body, includes a first plurality of magnets disposed around an inner circumference of the aperture. The actuator body includes a lead screw, a round lead screw nut mated with the lead screw, and a second plurality of magnets arranged on a periphery of the lead screw nut, generally aligned with the first plurality of magnets. The magnets are arranged so that the carriage may be displaced with respect to the actuator body a sufficient amount that the magnets do not significantly restrain the further movement of the carriage.","US-3326037-A,US-3947765-A,US-5796187-A,US-6084326-A,US-6712907-B1","['actuator', 'selectively', 'extending', 'retracting', 'probe', 'measuring', 'instrument', 'comprises', 'actuator', 'body', 'carriage', 'first', 'aperture', 'slidably', 'attached', 'body', 'second', 'aperture', 'receiving', 'probe', 'holder', 'probe', 'first', 'aperture', 'carriage', 'surrounds', 'actuator', 'body', 'includes', 'first', 'plurality', 'magnets', 'disposed', 'around', 'inner', 'circumference', 'aperture', 'actuator', 'body', 'includes', 'lead', 'screw', 'round', 'lead', 'screw', 'nut', 'mated', 'lead', 'screw', 'second', 'plurality', 'magnets', 'arranged', 'periphery', 'lead', 'screw', 'nut', 'generally', 'aligned', 'first', 'plurality', 'magnets', 'magnets', 'arranged', 'carriage', 'may', 'displaced', 'respect', 'actuator', 'body', 'sufficient', 'amount', 'magnets', 'significantly', 'restrain', 'movement', 'carriage']","['US-5796187', 'US-3326037', 'US-6084326', 'US-6712907', 'US-3947765']","[(11, 0.034772223424007924), (128, 0.09446073138529461), (178, 0.09859609733079629), (187, 0.052593991972745946), (194, 0.05282953294493692), (238, 0.03433180906075869), (313, 0.09556070698580142), (349, 0.04300072653833113), (367, 0.04092378802568459), (371, 0.05045997473793036), (406, 0.2113857863492337), (455, 0.030470085638434202), (864, 0.2805842655988993), (909, 0.05214312172766349), (1041, 0.046287414305783224), (1164, 0.05936490066826715), (1415, 0.06879269715556269), (1558, 0.0858804405539831), (1580, 0.07509927482252542), (1743, 0.23152864000551585), (1851, 0.08240968040939), (1907, 0.06008846993675155), (2051, 0.07162851467793233), (2136, 0.07957386288702038), (2144, 0.05353694335961003), (2216, 0.0586735008721309), (2236, 0.07162851467793233), (2239, 0.4294022027699154), (2330, 0.05305832300130443), (2436, 0.31829545154808153), (2701, 0.06248611948859996), (2858, 0.06431810909106772), (3185, 0.07957386288702038), (3363, 0.36633642610028827), (3456, 0.32963872163756), (4282, 0.1543524266703439), (4861, 0.31829545154808153), (5287, 0.09035502861847806), (5682, 0.09666160628544078), (6785, 0.09666160628544078), (8228, 0.10744277201689847), (8229, 0.10744277201689847)]"
897,US-5062945-A,A method and apparatus are disclosed to reduce the amount of unstripped hydrocarbon flowing to the regenerator in an FCC unit. The catalyst stripper section is heated by indirect heat exchange with a mixture of hot regenerator flue gas and regenerated catalyst.,"US-3008896-A,US-3392110-A,US-4043899-A,US-4070159-A,US-4356082-A,US-4411773-A,US-4419221-A,US-4464250-A,US-4574044-A,US-4689206-A,US-4724065-A,US-4786622-A,US-4871446-A,US-4917790-A,US-4971681-A,US-4973398-A","['method', 'apparatus', 'disclosed', 'reduce', 'amount', 'unstripped', 'hydrocarbon', 'flowing', 'regenerator', 'fcc', 'unit', 'catalyst', 'stripper', 'section', 'heated', 'indirect', 'heat', 'exchange', 'mixture', 'hot', 'regenerator', 'flue', 'gas', 'regenerated', 'catalyst']","['US-4464250', 'US-3008896', 'US-4043899', 'US-4411773', 'US-4971681', 'US-4973398', 'US-4356082', 'US-4917790', 'US-4070159', 'US-3392110', 'US-4689206', 'US-4419221', 'US-4786622', 'US-4724065', 'US-4871446', 'US-4574044']","[(19, 0.052709844814418205), (165, 0.09041964152382018), (170, 0.08024532103051482), (189, 0.15095258953745913), (218, 0.08090905926493462), (271, 0.18113015787116005), (274, 0.186757366347429), (368, 0.12564953090599718), (371, 0.11842798182857633), (772, 0.16463062298539405), (878, 0.12237827514818637), (1235, 0.15582709923969812), (1251, 0.12924304611306608), (1729, 0.3292612459707881), (1739, 0.13615124908450507), (6220, 0.20155870680038301), (7156, 0.21206042497889094), (7203, 0.22686176543184497), (8230, 0.2521648240633069), (8231, 0.2521648240633069), (8232, 0.5043296481266138), (8233, 0.2521648240633069), (8234, 0.2521648240633069)]"
898,US-5597639-A,The perceived softness of embossed tissue can be increased greatly while avoiding nesting when a particular pattern is embossed into the tissue. This pattern combines relatively shallow stitchlike bosses with deeper more sharply defined signature bosses. The stitchlike bosses can be rounded and arranged in wavy flowing intersecting lines. The signature bosses can be arranged in regions framed by the intersecting wavy flowing lines.,"US-496964-A,US-497421-A,US-2121013-A,US-2954838-A,US-3240656-A,US-4307141-A,US-4320162-A,US-4339088-A,US-4483728-A,US-4659608-A,US-4759967-A,US-4803032-A,US-4927588-A,US-5158819-A,US-5300347-A","['perceived', 'softness', 'embossed', 'tissue', 'increased', 'greatly', 'avoiding', 'nesting', 'particular', 'pattern', 'embossed', 'tissue', 'pattern', 'combines', 'relatively', 'shallow', 'stitchlike', 'bosses', 'deeper', 'sharply', 'defined', 'signature', 'bosses', 'stitchlike', 'bosses', 'rounded', 'arranged', 'wavy', 'flowing', 'intersecting', 'lines', 'signature', 'bosses', 'arranged', 'regions', 'framed', 'intersecting', 'wavy', 'flowing', 'lines']","['US-4339088', 'US-4803032', 'US-4927588', 'US-3240656', 'US-5300347', 'US-5158819', 'US-2954838', 'US-496964', 'US-4659608', 'US-2121013', 'US-4483728', 'US-497421', 'US-4320162', 'US-4307141', 'US-4759967']","[(128, 0.12566866490454545), (132, 0.12020652018436327), (147, 0.1598809935592779), (438, 0.14797518889703629), (493, 0.07552108423614637), (551, 0.06713093963424452), (785, 0.08431304035024806), (1235, 0.1766612827630816), (1587, 0.179728262338338), (2238, 0.2192723761584289), (2708, 0.08690299654429), (2868, 0.11425361785324246), (3091, 0.08690299654429), (3476, 0.12020652018436327), (3602, 0.12020652018436327), (5055, 0.1285966647862651), (5663, 0.12020652018436327), (5837, 0.2571933295725302), (6396, 0.2571933295725302), (7683, 0.2571933295725302), (8030, 0.1285966647862651), (8235, 0.14293971171928774), (8236, 0.571758846877151), (8237, 0.14293971171928774), (8238, 0.14293971171928774), (8239, 0.14293971171928774), (8240, 0.2858794234385755)]"
899,US-9035972-B2,"Labels to be displayed along an axis may be obtained as a sequence of labels. If it is determined that the labels in an original sequence of labels overlap, then an alternate sequence of labels that avoids the overlap of the labels may be determined. If it is determined that the labels in the original sequence of labels do not overlap, than the original sequence of labels may be displayed along the axis. If it is determined that the labels in the original sequence of labels overlap, then the alternate sequence of labels may be displayed.","US-5414838-A,US-2005162423-A1,US-7146374-B1,US-2011227946-A1,US-2011305668-A1","['labels', 'displayed', 'along', 'axis', 'may', 'obtained', 'sequence', 'labels', 'determined', 'labels', 'original', 'sequence', 'labels', 'overlap', 'alternate', 'sequence', 'labels', 'avoids', 'overlap', 'labels', 'may', 'determined', 'determined', 'labels', 'original', 'sequence', 'labels', 'overlap', 'original', 'sequence', 'labels', 'may', 'displayed', 'along', 'axis', 'determined', 'labels', 'original', 'sequence', 'labels', 'overlap', 'alternate', 'sequence', 'labels', 'may', 'displayed']","['US-2005162423', 'US-2011227946', 'US-5414838', 'US-7146374', 'US-2011305668']","[(455, 0.08110687511015675), (468, 0.05824080877506425), (720, 0.12306774764038962), (1514, 0.03562686228037924), (1572, 0.0682482914675518), (2442, 0.28715807782757574), (2457, 0.1399974515692664), (3228, 0.2572989430345187), (3303, 0.19990319607801785), (7226, 0.06432473575862968), (8241, 0.14299840825638457), (8242, 0.8579904495383075)]"
900,US-6840827-B2,"A cowling for an outboard marine engine includes an upper motor cover, a lower motor cover and a gear case that covers an engine that propels a watercraft. The upper motor cover mates with the lower motor cover and is configured to assist with alignment during assembly. The lower motor cover is configured to be assembled to one of a plurality of upper motor covers depending on engine size, and each upper motor cover is configured to be assembled to one of a plurality of top caps depending on whether the engine uses an electric starter or a pull starter. An illuminator, in the form of a lamp, a removable light or a reflector, is provided on the cowling.","US-2756736-A,US-2887563-A,JP-S6060098-A,US-4600396-A,JP-S61222894-A,JP-S6220794-A,US-4878468-A,JP-H0260894-A,US-5046976-A,JP-H04274992-A,JP-H05162692-A,US-5338236-A,JP-H0740891-A,JP-H09156592-A,US-5803777-A,US-D412911-S,US-D418519-S,US-6017254-A,US-D422599-S,US-6080025-A,US-D428616-S,US-6132273-A,US-D457166-S,US-D458273-S,US-D463448-S","['cowling', 'outboard', 'marine', 'engine', 'includes', 'upper', 'motor', 'cover', 'lower', 'motor', 'cover', 'gear', 'case', 'covers', 'engine', 'propels', 'watercraft', 'upper', 'motor', 'cover', 'mates', 'lower', 'motor', 'cover', 'configured', 'assist', 'alignment', 'assembly', 'lower', 'motor', 'cover', 'configured', 'assembled', 'one', 'plurality', 'upper', 'motor', 'covers', 'depending', 'engine', 'size', 'upper', 'motor', 'cover', 'configured', 'assembled', 'one', 'plurality', 'top', 'caps', 'depending', 'whether', 'engine', 'uses', 'electric', 'starter', 'pull', 'starter', 'illuminator', 'form', 'lamp', 'removable', 'light', 'reflector', 'provided', 'cowling']","['US-6080025', 'US-5046976', 'JP-H09156592', 'US-4600396', 'US-D428616', 'JP-S61222894', 'US-4878468', 'US-6017254', 'US-6132273', 'US-2887563', 'US-D422599', 'US-D463448', 'US-5803777', 'JP-S6060098', 'JP-H04274992', 'US-5338236', 'JP-H0740891', 'US-D412911', 'US-D418519', 'JP-H0260894', 'US-2756736', 'JP-H05162692', 'US-D458273', 'JP-S6220794', 'US-D457166']","[(11, 0.020317419670356607), (31, 0.0637363751934072), (34, 0.07110624530961682), (120, 0.043970718565709735), (148, 0.040302849157815485), (179, 0.08370512148907083), (186, 0.4595601034263075), (313, 0.07444819635303104), (331, 0.085620189642279), (357, 0.052069823176770946), (401, 0.02889374535400232), (419, 0.06256330133633622), (557, 0.08197273161910677), (609, 0.05373854805630494), (873, 0.15267050274572241), (911, 0.162274493138731), (990, 0.0677923073995806), (1010, 0.2549455007736288), (1160, 0.15717460992137916), (1183, 0.26260577338646146), (1290, 0.4266374718577009), (1392, 0.06633742423575893), (2309, 0.10558893593794261), (2660, 0.17552210739048846), (3017, 0.18598011951697724), (3258, 0.08776105369524423), (4218, 0.10035992987469823), (4585, 0.09018816517882172), (5656, 0.10558893593794261), (6483, 0.11295880605415223), (8197, 0.10558893593794261), (8243, 0.12555768223360622), (8244, 0.25111536446721244), (8245, 0.11295880605415223), (8246, 0.12555768223360622), (8247, 0.12555768223360622), (8248, 0.25111536446721244), (8249, 0.12555768223360622)]"
901,US-2010054829-A1,"A protective layer forming device including an image-bearing member protecting agent which contains a fatty acid metal salt and an inorganic lubricant, a protecting agent supply member configured to apply a surface of the image bearing member with the image-bearing member protecting agent, and a leveling member configured to level off the image-bearing member protecting agent applied on the surface of the image bearing member, wherein the leveling member serves as a cleaning blade having a ridge part with an obtuse angle, which comes into contact with the surface of the image bearing member in a direction counter to the rotation of the image bearing member.","US-3501294-A,US-5040030-A,US-6060205-A,US-2005152722-A1,US-2005191099-A1,US-2006099016-A1,US-2006285897-A1,US-7177570-B2,US-2007059067-A1,US-2007224528-A1,US-2008095553-A1,US-2008118286-A1,US-2008138132-A1,US-7979017-B2","['protective', 'layer', 'forming', 'device', 'including', 'imagebearing', 'member', 'protecting', 'agent', 'contains', 'fatty', 'acid', 'metal', 'salt', 'inorganic', 'lubricant', 'protecting', 'agent', 'supply', 'member', 'configured', 'apply', 'surface', 'image', 'bearing', 'member', 'imagebearing', 'member', 'protecting', 'agent', 'leveling', 'member', 'configured', 'level', 'imagebearing', 'member', 'protecting', 'agent', 'applied', 'surface', 'image', 'bearing', 'member', 'wherein', 'leveling', 'member', 'serves', 'cleaning', 'blade', 'ridge', 'part', 'obtuse', 'angle', 'comes', 'contact', 'surface', 'image', 'bearing', 'member', 'direction', 'counter', 'rotation', 'image', 'bearing', 'member']","['US-6060205', 'US-2005152722', 'US-5040030', 'US-2008118286', 'US-7979017', 'US-7177570', 'US-2007224528', 'US-2006099016', 'US-2006285897', 'US-2005191099', 'US-2007059067', 'US-2008138132', 'US-2008095553', 'US-3501294']","[(21, 0.05356732384470883), (66, 0.11275582474072386), (86, 0.22446138816137662), (110, 0.27692465616629164), (111, 0.062057713137002125), (123, 0.05225585913561342), (124, 0.055350540672932394), (137, 0.028468134627640196), (302, 0.06628844397934286), (346, 0.04050944752911967), (355, 0.03969363780252885), (452, 0.06435479436679238), (487, 0.07179617261272214), (509, 0.5044921831323009), (536, 0.059539702535026336), (679, 0.06562099962771528), (715, 0.05732585363352969), (1037, 0.0490686656610091), (1088, 0.08861257871713218), (1142, 0.09106323989698333), (1160, 0.10579975898616249), (1332, 0.08276809390279775), (1355, 0.051330316962937224), (1583, 0.35445031486852874), (1585, 0.07090074151641954), (1597, 0.09389232060583645), (1606, 0.07477883327163615), (1639, 0.10133369885176621), (1773, 0.08861257871713218), (3010, 0.30830365800570564), (3551, 0.07707591450142641), (4618, 0.09389232060583645), (6171, 0.10133369885176621), (7456, 0.22810963797280048), (8250, 0.11405481898640024), (8251, 0.38032781736310284), (8252, 0.12677593912103427), (8253, 0.12677593912103427)]"
