Publication_Number,Abstract
US-7265476-B1,A microscopic translation device for a microelectromechanical system includes a pair of linear stator assemblies disposed in spaced relation to define an elongate channel. Each assembly is formed by a plurality of stators arranged in a row along the channel. A shuttle member is disposed between the stator assemblies for translating movement along the channel. The shuttle member includes a plurality of rotors extending outwardly from opposite sides. The shuttle is grounded through the stator assemblies and includes a mounting area for an object to be translated. Electrical lines are individually connected to alternate stators of a plurality of groups of the stators. A current supply sequentially supplies current through the electrical lines to the alternate stators so as to effect charging of the stators in a predetermined sequence. This produces a tangential capacitive force that causes translation of the shuttle.
US-6629746-B2,"A process for the reduction of artefacts during the reproduction of an image based on image data and having a plurality of image points, by a specific image reproducing device is disclosed, whereby the image points have appearance properties, the process including the following steps: device characteristics which describe the appearance properties of image points produced by the specific image reproducing device in answer to image data and describe the dependence of the appearance properties on the position assigned to the image data, are provided or input, reproduction image data are input, and the image data corrected based on the device characteristics and depending on the positions assigned to the image data."
US-6629754-B1,"An object of the present invention is to provide a highly reliable ink jet printer head exhibiting a water-repellent property, low deterioration of ink drop ejection performance, and high friction resistance, along with a method of manufacturing this ink jet printer head. According to the present invention, in the case of an ink jet printer head wherein ink drops are ejected from nozzles formed in a nozzle surface, the ink jet printer head has a metal layer comprising metal formed on the nozzle surface and a self-organized film layer consisting of a polycyclic thiol compound formed on a top of the metal layer."
US-6695562-B2,"Two receptacles open at the top ( 15, 16 ), one of which contains objects ( 17 ) are put onto a rotating tray ( 3 ) under a convex cover ( 5 ). They are held in place by an appropriate device ( 11, 12 ). The tray and the cover are rotated by one complete turn such that the objects ( 17 ) come out of the first receptacle ( 15 ), roll under the cover ( 5 ) and finally drop into the other receptacle ( 16 )."
US-6798371-B1,"Techniques are described for analog-to-digital signal conversion. According to exemplary embodiments, a first request is associated with a changeable set of a plurality of input terminals, a second request is associated with a changeable one of the input terminals, and a third request is associated with a fixed one of the input terminals. One of the first, second, and third requests is received, and an analog signal presented at one of the input terminals is converted into a digital value based on the received one of the first, second, and third requests. When one of the second and third requests is received while converting a plurality of analog signals presented at the changeable set of the input terminals, a determination can be made whether the changeable set of the input terminals includes the one of the changeable and fixed input terminals associated with the received request."
US-6890357-B2,"A humeral component, forming a first articulating surface, and an ulnar component forming a second articulating surface adapted to be disposed around a part of the first articulating surface and to pivot about its longitudinal axis. This ulnar component is provided with structure for mounting a locking element which forms a third articulating surface extending the second and adapted likewise to be disposed around a part of the first surface. These mounting structure comprise guiding structures adapted to cooperate with complementary structure provided on the locking element in order to guide this element in translation with respect to the ulnar component, up to a position where blocking structure provided respectively on the locking element and on the ulnar component may be employed to immobilize this element on this component, these blocking structure being able to be employed only in this position."
US-6958638-B2,"A slew rate controlling system for output data is provided which is capable of improving an output data window even when change in a potential difference between a first power supply (VDD) to be used for outputting and a second power supply (VDDQ) to be used internally occurs. The slew rate controlling system is achieved by using a VDD-VDDQ potential difference detecting circuit to detect a decrease in a potential difference between the first power supply (VDD) and the second power supply (VDDQ) and to produce a first signal with specified timing and to detect an increase in a potential difference between the first power supply (VDD) and the second power supply (VDDQ) and to produce a second signal and by using a slew rate controlling circuit to exert control, when the first signal is significant, to enlarge a transition speed in a fall of output data and to exert control, when the second signal is significant, to enlarge the transition speed in a rise of output data and to produce output data."
US-7085120-B2,"The invention is a grounding device that grounds the wearer when the wearer is in a designated area and automatically disengages when the wearer leaves the designated area. In more detail, the grounding device includes a wristband that is electrically coupled to a grounded object with a fastening mechanism, wherein the fastening mechanism automatically releases to separate the wristband from the grounded object if the wristband is outside of the designated area. Where the fastening mechanism includes a coupling mechanism (e.g., a wire), there may be a rotating device that retracts the coupling mechanism after the fastening mechanism is released. The device may be enhanced with a grounding device monitoring unit that monitors whether the grounding device is in use and a sensor that detects whether the operator is in the designated area, so that an alarm is triggered if the operator is in the designated area and the grounding device is not in use."
US-6497158-B1,"A vehicle sensor assembly includes a retainer which locks the sensor assembly onto a sensor receipt member of a vehicle gas directing component. The retainer is preferably a cup-shaped member having a base and a wall extending substantially perpendicular from the perimeter thereof. Resilient engagement members extend radially inward from the wall toward the base. To install the sensor assembly, the sensor is pressed onto the sensor receipt member such that the engagement members engage the outer surface of the sensor receipt member. Since the retainer is preferably manufactured of a spring steel or a hard resilient plastic such as nylon, the engagement members attempt to return to their free position thereby locking the sensor assembly onto the sensor receipt member. A method for producing the sensor assembly preferably includes locating the sensor body within an initially cup-shaped retainer having a base and an extended wall. The next series of steps include progressively bending the wall toward a central first axis to substantially surround the sensor body with the retainer."
US-6592452-B1,"A sausage conveyor hook has an elongated support arm having first and second ends and first and second arm portions disposed at an angle with respect to each other. The first arm portion normally is disposed in a horizontal position on the conveyor, and the second arm portion extends downwardly and outwardly from the first arm portion. The support arm extends outwardly from the conveyor chain at a right angle. The support arm has forwardly and rearwardly side edges. A pair of spaced hook elements extend forwardly from the second arm portion. When a strand of linked sausages comprised of a plurality of sausage links separated by link points is draped over the uppermost of the hook elements, the strand will bend on the pivotal link point proximate the upper hook element. The sausage links adjacent the bent link point will be held in an angular position with respect to each other by the relative positions and arm portions and the hook elements. Further, the center axes of adjacent sausage links draped across the upper hook element will be in substantially the same vertical plane, and will dwell in a plane that is diagonally disposed with respect to the forward edge of the support arm."
US-6595750-B2,"The present invention relates to a component of a flow machine, particularly a turbine blade, which has a cooling channel ( 9, 10 ) through which cooling medium can flow, with at least one deflection ( 5 ) formed by the wall ( 11, 12 ) of the cooling channel, by means of which deflection the flow of the cooling medium from a first channel section ( 9 ) is deflected into a second channel section ( 10 ) situated downstream. At least one flow guiding element ( 8 ) is arranged in the cooling channel in the region of the deflection, and divides the cooling channel into an inner ( 13 ) and an outer ( 14 ) flow channel. In the present component, the inner flow channel ( 13 ) has a constriction in the flow cross section. By the proposed configuration of the cooling channel deflection, the pressure loss brought about by the deflection is minimized and simultaneously a distinctly more homogeneous heat transfer is attained to the cooling medium, without local temperature peaks."
US-6712687-B1,"Two tubular steel frames welded together to make a triangular shaped gambrel. One frame being bent at a 90 degree angle and welded to a straight second frame which is straight. The welding is completed in way so that a hole is defined at each end of the lower member. A cable is inserted through the entire length of the bent frame. Two loops are then defined on each of the left and right sides of the frame and are slidably secured to the lower frame member by a cable ferrule. As the animals&#39; limbs are placed in each loop of the cable, the weight of the animal itself tightens the top loop, or cable thimble, which in turn tightens the bottom two loops of the cable. This tightening allows the body of the animal to remain in air for cleaning and dressing the animal."
US-7099909-B2,Fast Fourier Transforms in a radix-2 block transform method enables true split and merge transform processing of equal sized data halves in the Fourier transform domain for enabling recursive merges and splits in Fourier transform domain without data degradation. Input data in the time domain or spatial domain during either the split and merge radix-2 forward transform processing is firstly transform processed followed by combinational processing. Whole transformed data is split using combinational processing into transformed data halves in the transform domain as a true split. Transform halves are merged using combinational processing into whole merged transformed data in the transform domain. Time or spatial domain input data can be transformed into the transform domain in the form of split halves or merged whole. The split halves can be merged by the merge process combinational processing and the merged whole are split by the split process combinational processing.
US-7199849-B2,"Provided are a projector capable of correcting a polarization state properly and improving image quality, a retardation plate being used in a projector or the like and being capable of correcting a polarization state properly, and a method of placing a retardation plate. A quarter-wave plate ( 22 ) is placed between a reflective spatial light modulator ( 21 ) and a PBS ( 20 ). The quarter-wave plate ( 22 ) includes a combination of a first retardation plate ( 41 ) and a second retardation plate ( 42 ) each producing a different phase difference. The phase differences produced by two retardation plates ( 41 ), ( 42 ) are set to be suitable amounts of phase difference according to a position state, so in spite of the fact that the quarter-wave plate ( 22 ) including the combination of two retardation plates, the quarter-wave plate ( 22 ) can correct the polarization state properly with performance equal to or higher than that in the case where the quarter-wave plate includes a single plate."
US-7208728-B2,A mass spectrometer capable of analyzing a wide mass range with high sensitivity and high mass accuracy. A mass spectrometer has an ionization source generating ions; an ion transfer optics transferring the ions; a first linear trap accumulating the ions and ejecting the ions in the specific mass range; a second linear trap having an end electrode disposed at the exit end ejecting the ions to change a DC potential gradient relative to a DC potential of the end electrode and trapping the ions ejected from the first linear trap to repeatedly eject them in pulse form; a time-of-flight mass spectrometer accelerating the ions ejected from the second linear trap in the orthogonal direction to detect them; and a controller changing the time duration of the ions in which the ions are ejected from the second linear trap or delay time from the completion of ejection to application of an accelerating voltage of the time-of-flight mass spectrometer according to the mass range of the ions ejected from the first linear trap to the second linear trap.
US-6532558-B1,"A method and apparatus for analog testing of hot-plug circuits on an active computer backplane. A test connector is added to the computer backplane that enables an external tester to turn on each card slot present on the computer backplane. The external tester then directs a test adapter card residing in a selected card slot to apply a nominal and overcurrent load to each voltage level of the selected card slot. After each load has been applied, the corresponding voltage level is returned to the external tester. The external tester then measures the voltage level, and verifies that the voltage level falls within a predefined voltage range. The test connector uses existing unutilized bus signal lines to pass test directives and results between the card slot under test and the external tester. The same test adapter card that performs the analog test on a card slot is also used to perform digital testing on the card, thus reducing both testing time and the complexity of the testing apparatus."
US-6548687-B1,"This invention involves a new kind of compound—the chromate L-threonate which molecular formula is Cr n (C 4 H 8-n O 5 ) 3  (n=1, 2 or 3). The chromate L-thronate can be applied to a high performance supplement of chromium(III) as well as effective hypoglycemic treatment for those diabetes patients and health care."
US-6639777-B1,A timer switch for suspending the application of a direct current input voltage to a load upon the detection of a voltage irregularity in the input voltage. The timer switch includes a transistor switch for selectively connecting the input voltage to the load. The timer switch also includes a timing element which detects the presence of a voltage irregularity in the input voltage and controls the state of the transistor switch based upon the detection of a voltage irregularity in the input voltage. The timer switch includes exactly three terminals and is powered by the input voltage. The timing element includes exactly one energy storage element which is represented as a capacitor.
US-6955071-B2,"A mechanical bending device ( 8 ) for bending flat workpieces ( 6 ) has at least one bending tool assembly ( 9 ) which includes at least one tool part that can move by means of a bending tool drive ( 27 ). When acted on by the tool part that moves, the workpiece can be bent along a bending line ( 11 ). The movable tool part is comprised of a multiplicity of adjacent segments disposed in the direction of the bending line ( 11 ), which segments can be selectively connected to the bending tool drive ( 27 ) to provide the desired operational length for the bending tool assembly. The machine tool incorporating the mechanical bending device can also include a mechanical cutting device so that workpiece parts can be both bent and machine cut in the same machine tool."
US-7201058-B2,"A pressure transmitter includes a body part and a sensor unit which are joined hermetically. Adjacent to the hermetic joint, there is a gap between adjacent surfaces of the body and sensor unit, which gap facilitates an easier assembling procedure and which facilitates transportation of gases away from the hermetic joint zone when the body and sensor unit is assembled e.g. by welding."
US-6873717-B2,"A user interface for facilitating a computer-aided diagnosis (CAD) includes an image input device that receives and scans the multiple images, and a film feeder that transports films from a film developer to the scanner. A multi-image identification input device uses bar code reading, numeric keypad, keyboard, network, and/or mouse to enter multiple image identification prior to image scanning. A display includes an image identification area, case processing status area, and a CAD detection and user modification area. The user can edit CAD results—accept, remove—and can add new diagnosis results to create a new composite diagnosis result."
US-6874168-B1,"The present invention  10  discloses pants  16  having foam padding  18  inserted into the pants seat as a cushion. The padding  18  is in the form of a buttocks  20  extending partially through the thigh area. The pants  16  can be either trousers or shorts manufactured from any material such as, spandex, lycra, polyester/cotton, cotton, cotton denim, etc., and can be manufactured in a style matching a sports team colors or can incorporate graphic images such as team logo  26  or other indicia. The aforementioned apparel can also be manufactured with a unique serial number  28  whereby sporting event promoters or other interested parties could manufacture and/or sell numbered apparel whereby attendance to events can be promoted by offering prizes for the wearers of the apparel by randomly drawing from a reservoir of numbers and awarding prizes for those in attendance. The present invention  10  also provides for an additional element wherein in addition to the padded pants being numbered, hats  30 , sweatshirts and jackets  32  could also be manufactured with a serial number  28  whereby the wearers could participate in a sporting event attendance contest which has the potential to increase gate receipts for the stadium."
US-7030800-B2,"A properly level-controlled digital signal can be obtained every sample. An input signal is supplied to amplifiers having their gains of one, two, four and eight. Outputs of the amplifiers are converted to digital signals at the same time in corresponding A/D converters having the same characteristic, respectively, and inputted to a data selection part. In the data selection part, when an input signal is high level, one A/D converter to which is inputted the input signal passing through the corresponding amplifier having its large gain, overflows so that the overflow-bit thereof becomes “1”. The output digital signal of the A/D converter is selected and outputted, which is connected to the amplifier having the largest gain among the amplifiers connected to corresponding A/D converters each of which has its overflow-bit is “0”. The digital signal is corrected in its scale and outputted."
US-7342830-B1,"A method for programming a nonvolatile memory array including an array of memory cells, each memory cell including a substrate, a control gate, a charge storage element, a source region and a drain region, includes performing a program operation on a group of memory cells, where the group of memory cells includes a plurality of subgroups. A verify status value is stored for each subgroup, the verify status value indicating a verify status of each subgroup, wherein the verify status value indicates whether an associated subgroup has been program verified. A program verify operation is performed on a selected subgroup when the verify status value associated with the selected subgroup indicates that the selected verify subgroup has not been program verified."
US-6470590-B1,"A brake device for a tape rule is provided that comprises a housing composed of an upper housing and a lower housing, a control device having a brake button portion and a release button portion. The brake button has an extended supporting arm formed thereon that includes a confining slit. A brake strap having a spring tongue with a protuberance formed at its end is displaced by the control device. With this structure, the control device is assembled in the housing with both the brake button and the release button extending out of the housing. The brake strap is guided in slide slots formed on the housing such that the protuberance of the spring tongue is mated with the top edge of the slide slot formed on the lower housing. The top end of the brake strap is received in the confining slit, the bottom end thereof is disposed near the surface of the tape. The detaining or releasing function of the brake can be performed with the aid of resiliency of the flexed spring tongue."
US-6489267-B1,"A selective herbicidal composition for controlling grasses and weeds in crops of cultivated plants, comprising 
     a) a herbicidally effective amount of a compound of formula I                    
      wherein 
     Q is the group                    
     R 1  is hydrogen, —COO—C 1 -C 4 -alkyl, —S—C 1 -C 4 -alkyl or —SO—C 1 -C 4 -alkyl; and 
     b) to antagonise the herbicide, an antidotally effective amount of a safener of formula II                    
      or the ethyl esters thereof."
US-6900385-B1,A fastening belt for wrapping electric cables is an elongate belt which is used to wrap a bundle of electric cables. The belt includes a plurality of slots defined therethrough and each slot includes an operation section which is offset from the slot so as to define a bending portion which can be bent outward from the belt. The cable can be extended through a hole defined by bending the bending portion.
US-6914936-B1,"A method for allocating media unit sequences, such as MPEG compliant programs, among a plurality of output channels, especially in an allocation unit environment. The method including the steps of: (I) Generating previous media unit sequence behavior pattern information. (II) Estimating at least one aspect of a predicted overflow in at least two output channels, in response to (a) at least a portion of the previous media unit sequence behavior pattern information, and (b) at least two potential allocations of media unit sequences, and (III) Selecting a selected allocation out of the at least two potential allocations in response to the at least one aspect of the predicted overflow. Conveniently, the selected allocation is the best allocation in respect of the at least one aspect."
US-6967714-B2,"The matter for which the refractive index is to be determined, is made available in the form of a theoretically determinable scattering or diffraction pattern. Two or more orders of diffraction may then be defined to form at least one intensity ratio. At least one intensity distribution may be formed by irradiating the scattering pattern using one light beam of a defined shape. Subsequently thereto, the intensity ratio may be formed based on the orders of diffraction of the intensity distribution. In addition, at least one portion of a characteristic curve may be determined, which represents the dependency of the intensity ratio on the refractive index, and, with whose assistance, the corresponding refractive index can be assigned to the intensity ratio formed."
US-7247968-B2,"Provided is a two-axis actuator having a large stage area. The two-axis actuator includes a stage moving in two directions and connected to an upper part of an inertial part. The two-axis actuator is configured to maximize a stage area relative to the overall area of the actuator, thereby increasing the data storage capacity of the stage."
US-6489958-B1,"A device for the graphic representation on a display surface of an object defined by a plurality of triangles which are respectively specified by three points in homogeneous object coordinates comprises a device for transforming the homogeneous object coordinates of the plurality of triangles into homogeneous clip coordinates of a clip coordinate system with an observer standpoint located on an observation axis which is perpendicular to the display surface, a device for determining the position of the observer standpoint in relation to each of the plurality of triangles by determining the orientation of each triangle of the plurality of triangles in the clip coordinate system with repect to the observer standpoint using the homogeneous clip coordinates of the plurality of triangles, a device for marking the position of the observer standpoint in relation to each triangle of the plurality of triangles in association with the homogeneous object coordinates of the plurality of triangles, and a device for processing the triangles specified in the object coordinates using the marked position of the observer standpoint in relation to each triangle so as to graphically represent the object on the display surface."
US-6588875-B1,"An ink jet cartridge printhead seal to prevent ink from drying when refilled, stored, shipped or removed from a printer comprising a sheet of flexible material ( 20 ) having an adhensive ( 21 ) coating secured to an elastomeric seal ( 10 ) for sealing a printhead ( 32 ) nozzle plate ( 34 ), said flexible material and said seal is protected with a release liner ( 24 ) covering said adhesive on said flexible material, with a finger tab( 40 ) secured near one end of said flexible material."
US-6840096-B2,"A throttle-opening detecting apparatus has a case mounted on a handle bar of a vehicle, a throttle grip mounted on a leading end side of the handle bar so as to be rotatable with respect to the handle bar, a throttle-opening sensor incorporated in the case for detecting a rotation angle of the throttle grip and, a friction plate applying a frictional force in an opposite direction with respect to the rotation of the throttle grip to the throttle grip while the throttle grip is rotated so as to provide a throttle-opening detecting apparatus which not only can omit the throttle wire but also can obtain the rotation load of the throttle grip similar to the conventional throttle-opening detecting apparatus to thereby permit execution of the operation of the throttle grip without giving the driver a strange feeling."
US-6869435-B2,"An instrument for applying clips in surgery having an operating handle with operating components and a removable clip cartridge with clip applying mechanism. The handle operating components generate reciprocal linear motion imparted to the clip applying mechanism and accommodate rotation of the cartridge about a cartridge axis. An anti-backup mechanism constrains operating components to complete first and second strokes of reciprocal linear motion. The clip applying mechanism actuated by received reciprocal motion applies a clip in surgery, isolates the next clip, and prepares for loading the isolated clip into the jaws on a first stroke, and on the second stroke, opens the jaws and pushes the isolated clip into the open jaws."
US-7106359-B2,"A video observation system, useful for location of fish and other plant and animal life underwater, comprises a solid state imager having substantial sensitivity to infrared radiation; video signal generating means for generating a video signal corresponding to the image formed on the solid state imager; mounting means for mounting the solid state imager on a submersible portion of a watercraft; and a video display device arranged to display a visible image corresponding to the image formed on the solid state imager."
US-7232052-B1,"The present invention provides a structure of the inner head housing, which is placed inside the nail tip cover. The structure includes a movable base of the air-resistant ring, which is placed inside the slot of the fixed liner ring. The resilient component is used to support the movable base towards the direction of the cylinder under normal circumstances. The fixed liner ring is a single component; therefore, it is easy to process and make it smooth. The inner side of the nail tip cover does not need to be processed; therefore, it greatly reduces cost of processing and becomes more practical."
